offspring_rattleprob,parent_midpoint,squirrel_id,Year
0,0,2906,1995
0,0,4901,1995
0,0,2763,1995
0,0.285714286,2764,1995
0,0.285714286,3510,1995
0,0,4453,1995
0,0,4467,1995
1,0.333333333,4705,1995
0.4,0.666666667,4573,1996
0.785714286,0.619047619,4996,1996
0.636363636,0.230769231,4227,1996
0.785714286,0.375,3491,1996
0.222222222,0.5,3660,1996
0.5,0.583333333,4640,1996
0.375,0.458333333,4187,1996
0.285714286,0,6230,1996
0.285714286,0.375,3703,1996
0.333333333,0.5,4430,1996
0.416666667,0.315789474,4091,1996
0.125,0.285714286,3103,1996
0.7,0.571428571,4429,1996
0.777777778,0.375,4735,1996
0.5,0.444444444,2858,1996
1,0.230769231,3598,1996
0.5,0.315789474,4607,1996
0.583333333,0.6,4154,1996
0.454545455,0.458333333,4428,1996
1,0.375,4296,1996
1,0.571428571,4705,1996
0,0.538461538,5317,1996
1,0.666666667,5350,1996
0,0.8,3014,1996
0,0.8,3042,1996
0,0.538461538,3248,1996
1,0.666666667,3065,1996
0,0.5,3133,1996
0,0.5,3216,1996
0.666666667,0.454545455,3927,1996
0,0.285714286,4712,1996
0,0,4776,1996
1,0.538461538,3510,1996
0,0.583333333,4440,1996
1,0.285714286,3213,1996
1,0.571428571,3304,1996
1,0.571428571,4810,1996
1,0.666666667,4476,1996
0.571428571,0.055555556,4078,1997
0.333333333,0.5,3522,1997
0.111111111,0,3660,1997
0.5,0.125,4091,1997
0,0.714285714,4476,1997
1,0.333333333,4640,1997
0.705882353,0.857142857,4154,1997
0.588235294,0.666666667,4430,1997
0,0.818181818,4608,1997
0.533333333,0.538461538,4187,1997
0.733333333,0.588235294,4735,1997
0.666666667,0.555555556,4810,1997
0.777777778,0.636363636,3927,1997
0.608695652,0.818181818,4227,1997
1,0,4712,1997
0.714285714,0.857142857,4453,1997
1,0.25,5527,1997
1,0.588235294,4296,1997
0.416666667,0.5,4996,1997
0,0.076923077,6230,1997
0.25,0.1,3721,1997
0.636363636,0.538461538,4428,1997
0.25,0.076923077,4776,1997
0.714285714,0.538461538,4826,1997
1,0.333333333,3283,1997
1,0.818181818,4549,1997
0,0.25,4610,1997
0.5,0.818181818,4950,1997
0.444444444,0.125,4607,1997
0,0.444444444,5317,1997
1,0.333333333,5500,1997
0.666666667,0.5,4819,1997
1,0.625,5501,1997
0.6,0.444444444,3769,1997
1,0.444444444,3510,1997
0.5,0.818181818,4562,1997
0.5,0.625,4417,1997
0,0.181818182,4878,1997
0,0.4,5049,1997
1,0.25,3536,1997
0.5,0.5,5562,1997
0,0.5,5857,1997
0.5,0.25,4842,1997
0,0.055555556,3675,1997
0,0.526315789,3477,1997
0.5,1,3672,1997
1,0.588235294,4682,1997
1,0.5,3567,1997
1,0,3789,1997
1,0.181818182,5378,1997
0,0.055555556,5517,1997
1,0.625,4714,1997
0,0.157894737,4535,1997
1,0.4,3598,1997
0.333333333,0.375,3927,1998
